index,date,value
75453,2008-01-01,2.24
75453,2008-01-02,2.58
75453,2008-01-03,2.58
75453,2008-01-04,2.58
75453,2008-01-05,2.58
75453,2008-01-06,2.51
75453,2008-01-07,2.4
75453,2008-01-08,2.29
75453,2008-01-09,2.18
75453,2008-01-10,2.13
75453,2008-01-11,2.13
75453,2008-01-12,2.13
75453,2008-01-13,2.13
75453,2008-01-14,2.18
75453,2008-01-15,2.24
75453,2008-01-16,2.24
75453,2008-01-17,2.24
75453,2008-01-18,2.24
75453,2008-01-19,2.24
75453,2008-01-20,2.18
75453,2008-01-21,2.18
75453,2008-01-22,2.18
75453,2008-01-23,2.18
75453,2008-01-24,2.18
75453,2008-01-25,2.24
75453,2008-01-26,2.24
75453,2008-01-27,2.24
75453,2008-01-28,2.24
75453,2008-01-29,2.24
75453,2008-01-30,2.24
75453,2008-01-31,2.18
75453,2008-02-01,2.18
75453,2008-02-02,2.18
75453,2008-02-03,2.18
75453,2008-02-04,2.18
75453,2008-02-05,2.18
75453,2008-02-06,2.18
75453,2008-02-07,2.13
75453,2008-02-08,2.02
75453,2008-02-09,1.92
75453,2008-02-10,1.82
75453,2008-02-11,1.88
75453,2008-02-12,1.92
75453,2008-02-13,2.02
75453,2008-02-14,2.13
75453,2008-02-15,2.24
75453,2008-02-16,2.24
75453,2008-02-17,2.18
75453,2008-02-18,1.92
75453,2008-02-19,1.82
75453,2008-02-20,1.78
75453,2008-02-21,1.78
75453,2008-02-22,2.02
75453,2008-02-23,2.63
75453,2008-02-24,3.34
75453,2008-02-25,3.84
75453,2008-02-26,12
75453,2008-02-27,11.8
75453,2008-02-28,16.4
75453,2008-02-29,28
75453,2008-03-01,25.8
75453,2008-03-02,15.4
75453,2008-03-03,21.6
75453,2008-03-04,20.7
75453,2008-03-05,12
75453,2008-03-06,8.53
75453,2008-03-07,5.25
75453,2008-03-08,3.92
75453,2008-03-09,3.48
75453,2008-03-10,3.01
75453,2008-03-11,2.69
75453,2008-03-12,2.76
75453,2008-03-13,6.51
75453,2008-03-14,10.6
75453,2008-03-15,11
75453,2008-03-16,11.7
75453,2008-03-17,3.65
75453,2008-03-18,4.14
75453,2008-03-19,3.28
75453,2008-03-20,3.31
75453,2008-03-21,3.7
75453,2008-03-22,3.65
75453,2008-03-23,3.39
75453,2008-03-24,4.35
75453,2008-03-25,10.6
75453,2008-03-26,28.5
75453,2008-03-27,22.2
75453,2008-03-28,12.6
75453,2008-03-29,8.84
75453,2008-03-30,7.14
75453,2008-03-31,4.45
75453,2008-04-01,4.2
75453,2008-04-02,3.8
75453,2008-04-03,3.57
75453,2008-04-04,3.57
75453,2008-04-05,3.5
75453,2008-04-06,3.42
75453,2008-04-07,3.42
75453,2008-04-08,3.35
75453,2008-04-09,3.21
75453,2008-04-10,3
75453,2008-04-11,2.87
75453,2008-04-12,2.74
75453,2008-04-13,2.67
75453,2008-04-14,2.74
75453,2008-04-15,2.8
75453,2008-04-16,2.74
75453,2008-04-17,2.74
75453,2008-04-18,2.74
75453,2008-04-19,2.74
75453,2008-04-20,2.74
75453,2008-04-21,2.8
75453,2008-04-22,3.42
75453,2008-04-23,5.17
75453,2008-04-24,4.98
75453,2008-04-25,3.96
75453,2008-04-26,3.5
75453,2008-04-27,3.14
75453,2008-04-28,2.93
75453,2008-04-29,2.87
75453,2008-04-30,2.61
75453,2008-05-01,2.61
75453,2008-05-02,2.61
75453,2008-05-03,2.55
75453,2008-05-04,2.49
75453,2008-05-05,2.49
75453,2008-05-06,2.43
75453,2008-05-07,2.2
75453,2008-05-08,2.2
75453,2008-05-09,2.14
75453,2008-05-10,2.09
75453,2008-05-11,2.03
75453,2008-05-12,1.98
75453,2008-05-13,2.03
75453,2008-05-14,2.14
75453,2008-05-15,2.14
75453,2008-05-16,2.14
75453,2008-05-17,2.14
